año,mes,indice_ripte,variacion_mensual,monto_en_pesos
2025,Diciembre,186718.33,1.3,1633547.00
2025,Noviembre,184238.99,1.2,1611851.61 
2025,Octubre,182089.61,2.7,1593047.33
2025, Septiembre,177378.55,1.4,1551831.75
2025,Agosto,174917.11,1.3,1530297.32
2025,Julio,172674.89,2.9,1510680.81
2025,Junio,167811.87,2.8,1468135.75
2025,Mayo,163299.84,1.9,1428661.3
2025,Abril,160321.72,2.9,1402606.61
2025,Marzo,155852.91,4.1,1363510.33
2025,Febrero,149777.43,6.1,1310357.8
2025,Enero,141124.78,2.6,1234658.4
2024,Diciembre,137497.9,2.0,1202927.89
2024,Noviembre,134754.34,2.8,1178925.33
2024,Octubre,131045.09,6.6,1146474.18
2024,Septiembre,122891.98,4.1,1075145.08
2024,Agosto,118007.3,3.8,1032410.48
2024,Julio,113694.76,6.6,994681.38
2024,Junio,106664.97,6.1,933179.85
2024,Mayo,100527.29,7.3,879483.08
2024,Abril,93671.26,16.1,819501.72
2024,Marzo,80678.57,14.0,705832.58
2024,Febrero,70754.17,11.5,619007.05
2024,Enero,63468.76,14.7,555269.16
2023,Diciembre,55356.61,8.3,484298.4
2023,Noviembre,51102.4,6.3,447079.57
2023,Octubre,48087.89,11.7,420706.55
2023,Septiembre,43045.75,9.5,376594.32
2023,Agosto,39326.69,5.9,344057.43
2023,Julio,37148.07,7.4,324997.28
2023,Junio,34583.73,8.1,302562.69
2023,Mayo,31984.22,6.2,279820.37
2023,Abril,30116.61,9.8,263481.22
2023,Marzo,27419.24,9.8,239882.73
2023,Febrero,24980.16,8.4,218543.91
2023,Enero,23041.17,3.8,201580.26
2022,Diciembre,22194.74,5.4,194175.11
2022,Noviembre,21055.73,5.6,184210.25
2022,Octubre,19938.61,5.5,174436.9
2022,Septiembre,18908.07,6.3,165421.01
2022,Agosto,17786.79,4.6,155611.28
2022,Julio,17009.6,5.3,148811.85
2022,Junio,16149.76,5.8,141289.4
2022,Mayo,15270.36,4.0,133595.77
2022,Abril,14677.19,5.9,128406.32
2022,Marzo,13855.82,7.8,121220.45
2022,Febrero,12849.2,4.7,112413.82
2022,Enero,12271.35,4.6,107358.35
2021,Diciembre,11726.3,2.0,102589.87
2021,Noviembre,11497.72,3.1,100590.14
2021,Octubre,11148.95,3.6,97538.78
2021,Septiembre,10762.48,4.2,94157.71
2021,Agosto,10326.11,2.3,90340.08
2021,Julio,10089.96,4.4,88274.02
2021,Junio,9660.13,3.7,84513.57
2021,Mayo,9311.61,1.2,81464.51
2021,Abril,9201.59,6.2,80501.97
2021,Marzo,8665.19,4.9,75809.13
2021,Febrero,8263.33,6.2,72293.4
2021,Enero,7784.1,1.8,68100.73
2020,Diciembre,7643.41,2.0,66869.88
2020,Noviembre,7495.03,1.3,65571.77
2020,Octubre,7401.81,4.6,64756.23
2020,Septiembre,7076.47,1.9,61909.95
2020,Agosto,6945.86,0.5,60767.23
2020,Julio,6908.52,3.6,60440.53
2020,Junio,6670.93,2.3,58361.93
2020,Mayo,6521.87,0.2,57057.9
2020,Abril,6510.18,0.1,56955.63
2020,Marzo,6500.72,0.9,56872.86
2020,Febrero,6445.13,6.2,56386.47
2020,Enero,6066.07,7.1,53070.21
2019,Diciembre,5666.48,2.0,49574.33
2019,Noviembre,5554.15,1.6,48591.6
2019,Octubre,5467.59,5.2,47834.32
2019,Septiembre,5199.08,3.2,45485.23
2019,Agosto,5039.93,1.9,44092.81
2019,Julio,4948.27,4.1,43290.96
2019,Junio,4753.19,1.6,41584.2
2019,Mayo,4676.25,3.2,40911.09
2019,Abril,4533.03,2.0,39658.15
2019,Marzo,4444.6,5.9,38884.43
2019,Febrero,4198.76,3.9,36733.68
2019,Enero,4042.0,3.0,35362.23
2018,Diciembre,3925.11,1.8,34339.61
2018,Noviembre,3855.86,1.7,33733.8
2018,Octubre,3789.62,5.2,33154.28
2018,Septiembre,3603.23,1.8,31523.56
2018,Agosto,3540.95,2.3,30978.75
2018,Julio,3461.52,2.3,30283.84
2018,Junio,3383.14,0.9,29598.12
2018,Mayo,3353.5,1.7,29338.79
2018,Abril,3298.55,2.8,28858.05
2018,Marzo,3208.74,2.3,28072.31
2018,Febrero,3136.49,1.9,27440.22
2018,Enero,3078.15,2.4,26929.81
2017,Diciembre,3006.32,0.5,26301.42
2017,Noviembre,2992.14,1.3,26177.33
2017,Octubre,2953.98,2.8,25843.46
2017,Septiembre,2873.15,1.8,25136.35
2017,Agosto,2823.33,0.9,24700.42
2017,Julio,2799.18,4.3,24489.17
2017,Junio,2682.68,1.9,23469.98
2017,Mayo,2632.39,1.7,23029.98
2017,Abril,2589.02,1.6,22650.53
2017,Marzo,2547.29,3.7,22285.48
2017,Febrero,2455.57,2.1,21483.03
2017,Enero,2405.87,1.7,21048.21
2016,Diciembre,2364.94,1.3,20690.14
2016,Noviembre,2334.36,1.8,20422.65
2016,Octubre,2293.97,2.0,20069.28
2016,Septiembre,2247.93,2.3,19666.45
2016,Agosto,2196.53,1.2,19216.78
2016,Julio,2170.43,3.9,18988.44
2016,Junio,2089.18,1.3,18277.57
2016,Mayo,2062.33,2.0,18042.71
2016,Abril,2022.16,4.2,17691.29
2016,Marzo,1940.55,2.8,16977.26
2016,Febrero,1888.34,4.4,16520.52
2016,Enero,1808.6,0.1,15822.89
2015,Diciembre,1806.09,1.8,15800.97
2015,Noviembre,1774.68,2.1,15526.15
2015,Octubre,1737.68,1.5,15202.43
2015,Septiembre,1712.64,2.6,14983.39
2015,Agosto,1668.64,0.4,14598.39
2015,Julio,1661.48,3.1,14535.78
2015,Junio,1612.17,4.0,14104.4
2015,Mayo,1549.59,3.7,13556.91
2015,Abril,1494.77,1.6,13077.29
2015,Marzo,1471.07,3.7,12869.99
2015,Febrero,1418.58,3.4,12410.76
2015,Enero,1371.4,0.4,11997.96
2014,Diciembre,1366.32,2.1,11953.5
2014,Noviembre,1338.45,-0.2,11709.66
2014,Octubre,1340.85,3.0,11730.67
2014,Septiembre,1302.28,4.1,11393.26
2014,Agosto,1251.18,0.5,10946.2
2014,Julio,1245.32,4.8,10894.91
2014,Junio,1188.08,1.0,10394.2
2014,Mayo,1176.75,1.4,10295.0
2014,Abril,1160.96,5.4,10156.89
2014,Marzo,1101.28,4.2,9634.75
2014,Febrero,1057.21,5.3,9249.21
2014,Enero,1004.15,0.5,8785.03
2013,Diciembre,999.43,0.9,8743.73
2013,Noviembre,990.63,0.5,8666.72
2013,Octubre,986.04,2.2,8626.56
2013,Septiembre,964.67,2.2,8439.6
2013,Agosto,943.67,1.0,8255.89
2013,Julio,934.63,2.4,8176.79
2013,Junio,912.82,1.1,7985.95
2013,Mayo,902.57,3.4,7896.3
2013,Abril,872.62,1.9,7634.27
2013,Marzo,856.21,2.6,7490.7
2013,Febrero,834.43,3.3,7300.21
2013,Enero,807.41,1.1,7063.81
2012,Diciembre,798.5,1.1,6985.82
2012,Noviembre,789.52,2.4,6907.3
2012,Octubre,770.83,2.5,6743.8
2012,Septiembre,751.84,1.7,6577.58
2012,Agosto,739.38,0.9,6468.61
2012,Julio,733.06,3.6,6413.3
2012,Junio,707.89,0.5,6193.16
2012,Mayo,704.54,3.0,6163.78
2012,Abril,683.89,4.8,5983.14
2012,Marzo,652.87,3.8,5711.74
2012,Febrero,628.82,2.8,5501.32
2012,Enero,611.61,1.3,5350.76
2011,Diciembre,603.55,0.7,5280.28
2011,Noviembre,599.28,2.5,5242.9
2011,Octubre,584.75,1.6,5115.77
2011,Septiembre,575.47,3.3,5034.58
2011,Agosto,557.23,3.3,4875.01
2011,Julio,539.38,3.1,4718.9
2011,Junio,522.98,1.4,4575.38
2011,Mayo,515.55,3.9,4510.43
2011,Abril,496.42,1.2,4343.04
2011,Marzo,490.31,6.8,4289.54
2011,Febrero,459.18,2.1,4017.23
2011,Enero,449.82,1.3,3935.3
2010,Diciembre,444.13,1.1,3885.52
2010,Noviembre,439.23,1.2,3842.72
2010,Octubre,433.84,2.1,3795.5
2010,Septiembre,425.11,4.2,3719.15
2010,Agosto,408.08,2.4,3570.19
2010,Julio,398.37,2.5,3485.26
2010,Junio,388.62,1.8,3399.89
2010,Mayo,381.84,1.1,3340.58
2010,Abril,377.78,2.2,3305.06
2010,Marzo,369.56,3.9,3233.2
2010,Febrero,355.54,3.3,3110.52
2010,Enero,344.28,-0.1,3011.99
